modelo,vect,sampler,scaling,duracao_random_search,qnt_iteracoes,f1_randsearch,f1_pred,class_report,duracao_aval_iv,acc_aval_iv,melhores_parametros
"MultinomialNB(alpha=1, fit_prior=False)",TfidfVectorizer(),RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 00:00:55.387604,4,32.32%,31.12%,"{'0': {'precision': 0.18181818181818182, 'recall': 0.25833333333333336, 'f1-score': 0.2134251290877797, 'support': 240}, '1': {'precision': 0.31630170316301703, 'recall': 0.325, 'f1-score': 0.3205918618988903, 'support': 400}, '2': {'precision': 0.39172749391727496, 'recall': 0.2683333333333333, 'f1-score': 0.3184965380811078, 'support': 600}, '3': {'precision': 0.36058700209643607, 'recall': 0.43, 'f1-score': 0.3922462941847207, 'support': 400}, 'accuracy': 0.3201219512195122, 'macro avg': {'precision': 0.31260859524872747, 'recall': 0.3204166666666667, 'f1-score': 0.3111899558131246, 'support': 1640}, 'weighted avg': {'precision': 0.335017281762506, 'recall': 0.3201219512195122, 'f1-score': 0.3216190343068147, 'support': 1640}}",0 days 00:00:49.291915,27.54%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
"MultinomialNB(alpha=1, fit_prior=False)",TfidfVectorizer(),None,MaxAbsScaler(),0 days 00:00:57.056101,4,31.39%,30.81%,"{'0': {'precision': 0.18681318681318682, 'recall': 0.07083333333333333, 'f1-score': 0.1027190332326284, 'support': 240}, '1': {'precision': 0.3333333333333333, 'recall': 0.3925, 'f1-score': 0.3605051664753157, 'support': 400}, '2': {'precision': 0.39280575539568346, 'recall': 0.455, 'f1-score': 0.42162162162162165, 'support': 600}, '3': {'precision': 0.35509138381201044, 'recall': 0.34, 'f1-score': 0.34738186462324394, 'support': 400}, 'accuracy': 0.35548780487804876, 'macro avg': {'precision': 0.3170109148385535, 'recall': 0.3145833333333334, 'f1-score': 0.3080569214882024, 'support': 1640}, 'weighted avg': {'precision': 0.3389564054455564, 'recall': 0.35548780487804876, 'f1-score': 0.34193923987087055, 'support': 1640}}",0 days 00:00:29.818740,30.62%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
