modelo,vect,sampler,scaling,duracao_random_search,qnt_iteracoes,f1_randsearch,f1_pred,class_report,duracao_aval_iv,acc_aval_iv,melhores_parametros
MultinomialNB(alpha=15),TfidfVectorizer(),RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 00:00:16.962997,1,34.43%,35.66%,"{'0': {'precision': 0.23649906890130354, 'recall': 0.5291666666666667, 'f1-score': 0.3268983268983269, 'support': 240}, '1': {'precision': 0.3891402714932127, 'recall': 0.43, 'f1-score': 0.4085510688836105, 'support': 400}, '2': {'precision': 0.4316109422492401, 'recall': 0.23666666666666666, 'f1-score': 0.30570505920344454, 'support': 600}, '3': {'precision': 0.4246987951807229, 'recall': 0.3525, 'f1-score': 0.38524590163934425, 'support': 400}, 'accuracy': 0.3548780487804878, 'macro avg': {'precision': 0.37048726945611976, 'recall': 0.38708333333333333, 'f1-score': 0.3566000891561816, 'support': 1640}, 'weighted avg': {'precision': 0.39101339546062874, 'recall': 0.3548780487804878, 'f1-score': 0.35329111108954087, 'support': 1640}}",0 days 00:00:21.661055,27.82%,"{'vect__ngram_range': (1, 2), 'vect__analyzer': 'char', 'selection__percentile': 100, 'estimator__fit_prior': True, 'estimator__alpha': 15}"
MultinomialNB(alpha=15),TfidfVectorizer(),None,MaxAbsScaler(),0 days 00:00:17.287944,1,14.33%,14.74%,"{'0': {'precision': 0.3333333333333333, 'recall': 0.004166666666666667, 'f1-score': 0.00823045267489712, 'support': 240}, '1': {'precision': 0.5, 'recall': 0.0075, 'f1-score': 0.01477832512315271, 'support': 400}, '2': {'precision': 0.3655514250309789, 'recall': 0.9833333333333333, 'f1-score': 0.5329719963866305, 'support': 600}, '3': {'precision': 0.4117647058823529, 'recall': 0.0175, 'f1-score': 0.03357314148681055, 'support': 400}, 'accuracy': 0.36646341463414633, 'macro avg': {'precision': 0.4026623660616663, 'recall': 0.253125, 'f1-score': 0.1473884789178727, 'support': 1640}, 'weighted avg': {'precision': 0.4049004496167857, 'recall': 0.36646341463414633, 'f1-score': 0.20798725190118228, 'support': 1640}}",0 days 00:00:18.738003,36.35%,"{'vect__ngram_range': (1, 2), 'vect__analyzer': 'char', 'selection__percentile': 100, 'estimator__fit_prior': True, 'estimator__alpha': 15}"
