modelo,vect,sampler,scaling,duracao_search,qnt_iteracoes,f1_search,f1_pred,class_report,duracao_aval_iv,acc_aval_iv,melhores_parametros
"MultinomialNB(alpha=1, fit_prior=False)",TfidfVectorizer(),RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 00:00:30.511196,1,43.47%,44.99%,"{'0': {'precision': 0.35361216730038025, 'recall': 0.3875, 'f1-score': 0.36978131212723664, 'support': 240}, '1': {'precision': 0.46919431279620855, 'recall': 0.495, 'f1-score': 0.48175182481751827, 'support': 400}, '2': {'precision': 0.46689895470383275, 'recall': 0.44666666666666666, 'f1-score': 0.45655877342419077, 'support': 600}, '3': {'precision': 0.5039370078740157, 'recall': 0.48, 'f1-score': 0.49167733674775926, 'support': 400}, 'accuracy': 0.4579268292682927, 'macro avg': {'precision': 0.4484106106686093, 'recall': 0.45229166666666665, 'f1-score': 0.4499423117791762, 'support': 1640}, 'weighted avg': {'precision': 0.45991391539175647, 'recall': 0.4579268292682927, 'f1-score': 0.45856978267753795, 'support': 1640}}",0 days 00:00:47.490504,34.99%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
"MultinomialNB(alpha=1, fit_prior=False)",TfidfVectorizer(),None,MaxAbsScaler(),0 days 00:00:29.232289,1,37.2%,39.78%,"{'0': {'precision': 0.41935483870967744, 'recall': 0.10833333333333334, 'f1-score': 0.17218543046357615, 'support': 240}, '1': {'precision': 0.46446700507614214, 'recall': 0.4575, 'f1-score': 0.4609571788413098, 'support': 400}, '2': {'precision': 0.42482915717539865, 'recall': 0.6216666666666667, 'f1-score': 0.5047361299052774, 'support': 600}, '3': {'precision': 0.5228758169934641, 'recall': 0.4, 'f1-score': 0.453257790368272, 'support': 400}, 'accuracy': 0.4524390243902439, 'macro avg': {'precision': 0.4578817044886706, 'recall': 0.396875, 'f1-score': 0.39778413239460886, 'support': 1640}, 'weighted avg': {'precision': 0.45760962464841726, 'recall': 0.4524390243902439, 'f1-score': 0.4328366883769862, 'support': 1640}}",0 days 00:00:30.021005,36.22%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
