modelo,vect,sampler,scaling,duracao_random_search,qnt_iteracoes,f1_randsearch,f1_pred,class_report,duracao_aval_iv,acc_aval_iv,melhores_parametros
MultinomialNB(alpha=0.3),TfidfVectorizer(),RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 00:02:29.559093,4,43.47%,44.99%,"{'0': {'precision': 0.35361216730038025, 'recall': 0.3875, 'f1-score': 0.36978131212723664, 'support': 240}, '1': {'precision': 0.46919431279620855, 'recall': 0.495, 'f1-score': 0.48175182481751827, 'support': 400}, '2': {'precision': 0.46689895470383275, 'recall': 0.44666666666666666, 'f1-score': 0.45655877342419077, 'support': 600}, '3': {'precision': 0.5039370078740157, 'recall': 0.48, 'f1-score': 0.49167733674775926, 'support': 400}, 'accuracy': 0.4579268292682927, 'macro avg': {'precision': 0.4484106106686093, 'recall': 0.45229166666666665, 'f1-score': 0.4499423117791762, 'support': 1640}, 'weighted avg': {'precision': 0.45991391539175647, 'recall': 0.4579268292682927, 'f1-score': 0.45856978267753795, 'support': 1640}}",0 days 00:00:50.931259,34.99%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
MultinomialNB(alpha=0.3),TfidfVectorizer(),None,MaxAbsScaler(),0 days 00:02:11.637123,4,41.53%,43.54%,"{'0': {'precision': 0.4125, 'recall': 0.275, 'f1-score': 0.33, 'support': 240}, '1': {'precision': 0.4519906323185012, 'recall': 0.4825, 'f1-score': 0.4667472793228537, 'support': 400}, '2': {'precision': 0.43872919818456885, 'recall': 0.48333333333333334, 'f1-score': 0.45995241871530534, 'support': 600}, '3': {'precision': 0.4897959183673469, 'recall': 0.48, 'f1-score': 0.48484848484848486, 'support': 400}, 'accuracy': 0.45182926829268294, 'macro avg': {'precision': 0.4482539372176042, 'recall': 0.43020833333333336, 'f1-score': 0.435387045721661, 'support': 1640}, 'weighted avg': {'precision': 0.4505805726738296, 'recall': 0.45182926829268294, 'f1-score': 0.4486644859132431, 'support': 1640}}",0 days 00:00:30.667012,35.56%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': True, 'estimator__alpha': 0.3}"
