modelo,vect,sampler,scaling,duracao_search,qnt_iteracoes,f1_search,f1_pred,class_report,duracao_aval_iv,acc_aval_iv,melhores_parametros
"MultinomialNB(alpha=1, fit_prior=False)",TfidfVectorizer(),RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 00:00:16.727142,1,28.56%,29.59%,"{'0': {'precision': 0.18322295805739514, 'recall': 0.3458333333333333, 'f1-score': 0.23953823953823955, 'support': 240}, '1': {'precision': 0.31384615384615383, 'recall': 0.255, 'f1-score': 0.2813793103448276, 'support': 400}, '2': {'precision': 0.39816933638443935, 'recall': 0.29, 'f1-score': 0.33558341369334616, 'support': 600}, '3': {'precision': 0.3176470588235294, 'recall': 0.3375, 'f1-score': 0.32727272727272727, 'support': 400}, 'accuracy': 0.30121951219512194, 'macro avg': {'precision': 0.3032213767778794, 'recall': 0.3070833333333334, 'f1-score': 0.29594342271228513, 'support': 1640}, 'weighted avg': {'precision': 0.3265075590440925, 'recall': 0.30121951219512194, 'f1-score': 0.3062805126537848, 'support': 1640}}",0 days 00:00:26.308870,24.89%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
"MultinomialNB(alpha=1, fit_prior=False)",TfidfVectorizer(),None,MaxAbsScaler(),0 days 00:00:19.276006,1,29.24%,29.02%,"{'0': {'precision': 0.16929133858267717, 'recall': 0.35833333333333334, 'f1-score': 0.22994652406417113, 'support': 240}, '1': {'precision': 0.31986531986531985, 'recall': 0.2375, 'f1-score': 0.27259684361549497, 'support': 400}, '2': {'precision': 0.39364303178484106, 'recall': 0.2683333333333333, 'f1-score': 0.3191278493557978, 'support': 600}, '3': {'precision': 0.3286384976525822, 'recall': 0.35, 'f1-score': 0.3389830508474576, 'support': 400}, 'accuracy': 0.2939024390243902, 'macro avg': {'precision': 0.3028595469713551, 'recall': 0.30354166666666665, 'f1-score': 0.29016356697073037, 'support': 1640}, 'weighted avg': {'precision': 0.32696174837677316, 'recall': 0.2939024390243902, 'f1-score': 0.2995706299841834, 'support': 1640}}",0 days 00:00:22.737958,25.73%,"{'vect__ngram_range': (2, 3), 'vect__analyzer': 'char', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 1}"
