modelo,vect,sampler,scaling,duracao_random_search,qnt_iteracoes,f1_randsearch,f1_pred,class_report,duracao_aval_iv,acc_aval_iv,melhores_parametros
MultinomialNB(alpha=0.1),TfidfVectorizer(),RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 00:01:15.020605,4,33.35%,36.85%,"{'0': {'precision': 0.3111111111111111, 'recall': 0.175, 'f1-score': 0.22399999999999998, 'support': 240}, '1': {'precision': 0.45016077170418006, 'recall': 0.35, 'f1-score': 0.3938115330520393, 'support': 400}, '2': {'precision': 0.441207075962539, 'recall': 0.7066666666666667, 'f1-score': 0.5432415118513773, 'support': 600}, '3': {'precision': 0.4248927038626609, 'recall': 0.2475, 'f1-score': 0.3127962085308057, 'support': 400}, 'accuracy': 0.4298780487804878, 'macro avg': {'precision': 0.40684291566012276, 'recall': 0.36979166666666663, 'f1-score': 0.3684623133585555, 'support': 1640}, 'weighted avg': {'precision': 0.420373355165199, 'recall': 0.4298780487804878, 'f1-score': 0.40387073399022216, 'support': 1640}}",0 days 00:00:48.993929,33.93%,"{'vect__ngram_range': (1, 6), 'vect__analyzer': 'word', 'selection__percentile': 66, 'estimator__fit_prior': True, 'estimator__alpha': 0.1}"
MultinomialNB(alpha=0.1),TfidfVectorizer(),None,MaxAbsScaler(),0 days 00:01:23.885837,4,34.37%,37.53%,"{'0': {'precision': 0.2849162011173184, 'recall': 0.2125, 'f1-score': 0.24343675417661095, 'support': 240}, '1': {'precision': 0.43843843843843844, 'recall': 0.365, 'f1-score': 0.39836289222373805, 'support': 400}, '2': {'precision': 0.4462242562929062, 'recall': 0.65, 'f1-score': 0.5291723202170964, 'support': 600}, '3': {'precision': 0.4251968503937008, 'recall': 0.27, 'f1-score': 0.3302752293577982, 'support': 400}, 'accuracy': 0.42378048780487804, 'macro avg': {'precision': 0.39869393656059093, 'recall': 0.374375, 'f1-score': 0.3753117989938109, 'support': 1640}, 'weighted avg': {'precision': 0.4155905838882658, 'recall': 0.42378048780487804, 'f1-score': 0.4069411352227189, 'support': 1640}}",0 days 00:00:37.539269,32.43%,"{'vect__ngram_range': (1, 6), 'vect__analyzer': 'word', 'selection__percentile': 66, 'estimator__fit_prior': True, 'estimator__alpha': 0.1}"
